Match,FF_CLUSTER_THEME,FF_SCOPE,FF_FOCUS,FF_TOPIC,Group_name,Group_type,Topic,Catalogue_category,Sub_category,URL,Recommendation_s__output_s_,Co_chairs,Contact_email,Count
Yes,FAIR,Implementation,Incentives,"Actual implementation of FAIR, with emphasis on I and R",CURE-FAIR WG,WG,FAIR data ,Data management,FAIR data ,https://www.rd-alliance.org/groups/cure-fair-wg,"10 Things for Curating Reproducible and FAIR Research

Challenges of Curating for Reproducible and FAIR Research Output 
https://www.rd-alliance.org/group/cure-fair-wg/outcomes/challenges-curating-reproducible-and-fair-research-output ","Limor Peer, Florio Arguillas, Thu-Mai Christian, Tom Honeyman, Mandy Gooch",,1
Yes,FAIR,Implementation,Incentives,"Actual implementation of FAIR, with emphasis on I and R",FAIR Data Maturity Model WG,WG,FAIR data,"Data management, 
Dissemination, Linking and Findability",FAIR data ,https://www.rd-alliance.org/groups/fair-data-maturity-model-wg,"FAIR Data Maturity Model: specification and guidelines
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/fair-data-maturity-model-specification-and-guidelines-0

Member survey on bridging the gap between funders and communities – perspectives on benefits and challenges of FAIR assessments V2.0
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/member-survey-bridging-gap-between-funders-and 

Results of an Analysis of Existing FAIR Assessment Tools
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/results-analysis-existing-fair-assessment-tools ","Edit Herczog, Keith Russell, Shelley Stall",,1
Yes,FAIR,Implementation,Incentives,"Actual implementation of FAIR, with emphasis on I and R",FAIR Digital Object Fabric IG,IG,FAIR data ,na,Data management planning,https://www.rd-alliance.org/group/FAIR-digital-object-fabric-ig.html,"Summary of Virtual Layer Recommendations
https://www.rd-alliance.org/group/fair-digital-object-fabric-ig/outcomes/summary-virtual-layer-recommendations 

Persistent identifiers: Consolidated assertions
https://www.rd-alliance.org/group/fair-digital-object-fabric-ig/outcomes/persistent-identifiers-consolidated-assertions ","Xin Chen, Rainer Stotzka, Robert Quick, Maggie Hellström",rda-fair-do-fabric-ig@rda-groups.org,1
Yes,FAIR,Implementation,Incentives,"Actual implementation of FAIR, with emphasis on I and R",FAIR for Research Software (FAIR4RS) WG,WG,FAIR software,"Data management
Policy, Legal Compliance, and Capacity 
Computational infrastructures",FAIR software ,https://www.rd-alliance.org/groups/fair-research-software-fair4rs-wg,"FAIR Principles for Research Software (FAIR4RS Principles)
https://www.rd-alliance.org/group/fair-research-software-fair4rs-wg/outcomes/fair-principles-research-software-fair4rs-0 ","Michelle Barker, Paula Andrea Martinez, Leyla Garcia, Daniel S. Katz, Neil Chue Hong, Jennifer Harrow, Fotis Psomopoulos, Carlos Martinez-Ortiz, Morane Gruenpeter",,1
Yes,FAIR,Implementation,Incentives,"Actual implementation of FAIR, with emphasis on I and R",FAIR for Virtual Research Environments WG,WG,"Technical infrastructure, analysis, storage and preservation ",na,na,https://www.rd-alliance.org/groups/fair-virtual-research-environments-wg,,"Kerry Levett, Sandra Gesing, Kheeran Dharmawardena, Leyla Garcia",,1
Yes,FAIR,Implementation,Incentives,"Actual implementation of FAIR, with emphasis on I and R",FAIR Principles for Research Hardware,IG,Non-digital (samples and hardware),na,Open Hardware,https://www.rd-alliance.org/groups/fair-principles-research-hardware,,"Nadica Miljkovi?, Julien Colomb",fair4rh@rda-groups.org,1
Yes,FAIR,Implementation,Incentives,"Actual implementation of FAIR, with emphasis on I and R",GO FAIR Liaison IG,IG,"Policy, legal, global infrastructure ",na,"Policy, legal, compliance, capacity",https://www.rd-alliance.org/groups/go-fair-liaison-ig,,"Luiz Olavo Bonino da Silva Santos, Erik Schultes",gofair@rda-groups.org,1
Yes,FAIR,Implementation,Incentives,"Actual implementation of FAIR, with emphasis on I and R",Raising FAIRness in health data and health research performing organisations (HRPOs) WG,WG,Health research ,na,na,https://www.rd-alliance.org/groups/raising-fairness-health-data-and-health-research-performing-organisations-hrpos-wg,,"Shanmugasundaram Venkataraman, Celia Alvarez-Romero, Kristan Kang, Anupama Gururaj",,1
Yes,FAIR,Implementation,Disciplinary,aligning FAIR implementation profiles for research communities,CURE-FAIR WG,WG,FAIR data ,Data management,FAIR data ,https://www.rd-alliance.org/groups/cure-fair-wg,"10 Things for Curating Reproducible and FAIR Research

Challenges of Curating for Reproducible and FAIR Research Output 
https://www.rd-alliance.org/group/cure-fair-wg/outcomes/challenges-curating-reproducible-and-fair-research-output ","Limor Peer, Florio Arguillas, Thu-Mai Christian, Tom Honeyman, Mandy Gooch",,1
Yes,FAIR,Implementation,Disciplinary,aligning FAIR implementation profiles for research communities,FAIR Data Maturity Model WG,WG,FAIR data,"Data management, 
Dissemination, Linking and Findability",FAIR data ,https://www.rd-alliance.org/groups/fair-data-maturity-model-wg,"FAIR Data Maturity Model: specification and guidelines
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/fair-data-maturity-model-specification-and-guidelines-0

Member survey on bridging the gap between funders and communities – perspectives on benefits and challenges of FAIR assessments V2.0
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/member-survey-bridging-gap-between-funders-and 

Results of an Analysis of Existing FAIR Assessment Tools
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/results-analysis-existing-fair-assessment-tools ","Edit Herczog, Keith Russell, Shelley Stall",,1
