FF_TOPIC,Keyword1,Keyword2,Key,FF_CLUSTER_THEME,FF_SCOPE,FF_FOCUS
Economics of Data,economics,economic,Economic,Data lifecycle,Economics,Costs
Data Management Plans,rdm,dmp,RDM-DMP,Data lifecycle,Implementation,Collaboration
Contributions and challenges across the data life cycle (beyond data managment),rdm,dmp,RDM-DMP,Data lifecycle,Policy alignment,Collaboration
Cost of data curation to be covered by grant and guidance on what is reasonable/enough,curation,funders,Data curation,Data lifecycle,Policy alignment,Costs
Funder's requirements with respect to 'sensitive' data (whether personnal information or strategic data),sensitive,funders,Sensitive data,Data lifecycle,Policy alignment,Requirements
Data and Software Preservation Guidance / Sustainable Discipline Repositories,repository,repositories,Repositories,Data lifecycle,Policy alignment,Sustainability
Data Privacy,sensitive,privacy,Data privay,Data lifecycle,Policy alignment,Sustainability
FAIR Research Data,fair,fair,FAIR,FAIR,Implementation,Collaboration
Scalable FAIR,fair,fair,FAIR,FAIR,Implementation,Costs
aligning FAIR implementation profiles for research communities,fair,fair,FAIR,FAIR,Implementation,Disciplinary
"Actual implementation of FAIR, with emphasis on I and R",fair,fair,FAIR,FAIR,Implementation,Incentives
Approaches to supporting adoption of FAIR/Open Science Principles by researchers,fair,fair,FAIR,FAIR,Implementation,Incentives
"The impact of data, make them fair",fair,fair,FAIR,FAIR,Policy alignment,impact
introducing FAIR practices as early as possible in funding process,fair,fair,FAIR,FAIR,Policy alignment,Incentives
role of funders to enforce FAIR data,fair,fair,FAIR,FAIR,Policy alignment,Incentives
FAIR and IP,fair,fair,FAIR,FAIR,Policy alignment,Legal
Research Data Management/ Open Data,rdm,fair,RDM-DMP,Open Data,Implementation,Sustainability
data commons/ data trusts / governance,governance,commons,Data commons & Governance,Open Science / Open Research Commons,Governance,Collaboration
Digital Object Management Plans,digital,digital,Digital objects,Open Science / Open Research Commons,Implementation,Collaboration
FAIR data commons,fair,commons,FAIR,Open Science / Open Research Commons,Implementation,Collaboration
National PID strategies,identifier,pid,PIDs,Open Science / Open Research Commons,Implementation,Collaboration
Persistent Identifiers,identifier,pid,PIDs,Open Science / Open Research Commons,Implementation,Collaboration
RDA work in developing countries,international,collaboration,International collaboration,Open Science / Open Research Commons,Implementation,Collaboration
Providing and storage the Research Data from supported projects,rdm,repositories,RDM-DMP,Open Science / Open Research Commons,Implementation,impact
Providing Research Data from Journals,journal,journals,Journals,Open Science / Open Research Commons,Implementation,impact
Institutional Repositories,repository,repositories,Repositories,Open Science / Open Research Commons,Implementation,Sustainability
International collaborations,international,na,International collaboration,Open Science / Open Research Commons,Policy alignment,Collaboration
National digital research infrastructure strategy,infrastructure,digital,Digital objects,Open Science / Open Research Commons,Policy alignment,Collaboration
National Nodes,national,na,National,Open Science / Open Research Commons,Policy alignment,Collaboration
Openness and Reproducibility,open,reproducibility,Reproducibility,Open Science / Open Research Commons,Policy alignment,Collaboration
Policies on management and sharing of data,rdm,policies,Policy,Open Science / Open Research Commons,Policy alignment,Collaboration
Policy alignment / harmonisation,policy,funders,Policy,Open Science / Open Research Commons,Policy alignment,Collaboration
discipline specificities in open research data policies,data,policies,Policy,Open Science / Open Research Commons,Policy alignment,Disciplinary
Funder incentives to open research data management practices,rdm,funders,Funders,Open Science / Open Research Commons,Policy alignment,Incentives
Open Science Policies,open,policies,Policy,Open Science / Open Research Commons,Policy alignment,Incentives
Industrial Participation,industry,na,Industry,Open Science / Open Research Commons,Policy alignment,Industry
