TOPIC,Group
Economics of Data,Data Economics IG
Economics of Data,Social Dynamics of Data Interoperability IG
Data Management Plans,Libraries for Research Data IG
Data Management Plans,Research Data Management in Engineering IG
Contributions and challenges across the data life cycle (beyond data managment),Libraries for Research Data IG
Contributions and challenges across the data life cycle (beyond data managment),Research Data Management in Engineering IG
Cost of data curation to be covered by grant and guidance on what is reasonable/enough,Reproducible Health Data Services WG
Funder's requirements with respect to 'sensitive' data (whether personnal information or strategic data),Sensitive Data Interest Group
Funder's requirements with respect to 'sensitive' data (whether personnal information or strategic data),Social Science Research Data IG
Data and Software Preservation Guidance / Sustainable Discipline Repositories,Data Repository Attributes WG
Data and Software Preservation Guidance / Sustainable Discipline Repositories,Repository Platforms for Research Data IG
Data Privacy,RDA Privacy Implications of Research Data Sets IG
FAIR Research Data,CURE-FAIR WG
FAIR Research Data,FAIR Data Maturity Model WG
FAIR Research Data,FAIR Digital Object Fabric IG
FAIR Research Data,FAIR for Research Software (FAIR4RS) WG
FAIR Research Data,FAIR for Virtual Research Environments WG
FAIR Research Data,FAIR Principles for Research Hardware
FAIR Research Data,GO FAIR Liaison IG
FAIR Research Data,Raising FAIRness in health data and health research performing organisations (HRPOs) WG
Scalable FAIR,CURE-FAIR WG
Scalable FAIR,FAIR Data Maturity Model WG
Scalable FAIR,FAIR Digital Object Fabric IG
Scalable FAIR,FAIR for Research Software (FAIR4RS) WG
Scalable FAIR,FAIR for Virtual Research Environments WG
Scalable FAIR,FAIR Principles for Research Hardware
Scalable FAIR,GO FAIR Liaison IG
Scalable FAIR,Raising FAIRness in health data and health research performing organisations (HRPOs) WG
aligning FAIR implementation profiles for research communities,CURE-FAIR WG
aligning FAIR implementation profiles for research communities,FAIR Data Maturity Model WG
aligning FAIR implementation profiles for research communities,FAIR Digital Object Fabric IG
aligning FAIR implementation profiles for research communities,FAIR for Research Software (FAIR4RS) WG
aligning FAIR implementation profiles for research communities,FAIR for Virtual Research Environments WG
aligning FAIR implementation profiles for research communities,FAIR Principles for Research Hardware
aligning FAIR implementation profiles for research communities,GO FAIR Liaison IG
aligning FAIR implementation profiles for research communities,Raising FAIRness in health data and health research performing organisations (HRPOs) WG
"Actual implementation of FAIR, with emphasis on I and R",CURE-FAIR WG
"Actual implementation of FAIR, with emphasis on I and R",FAIR Data Maturity Model WG
"Actual implementation of FAIR, with emphasis on I and R",FAIR Digital Object Fabric IG
"Actual implementation of FAIR, with emphasis on I and R",FAIR for Research Software (FAIR4RS) WG
"Actual implementation of FAIR, with emphasis on I and R",FAIR for Virtual Research Environments WG
"Actual implementation of FAIR, with emphasis on I and R",FAIR Principles for Research Hardware
"Actual implementation of FAIR, with emphasis on I and R",GO FAIR Liaison IG
"Actual implementation of FAIR, with emphasis on I and R",Raising FAIRness in health data and health research performing organisations (HRPOs) WG
Approaches to supporting adoption of FAIR/Open Science Principles by researchers,CURE-FAIR WG
Approaches to supporting adoption of FAIR/Open Science Principles by researchers,FAIR Data Maturity Model WG
Approaches to supporting adoption of FAIR/Open Science Principles by researchers,FAIR Digital Object Fabric IG
Approaches to supporting adoption of FAIR/Open Science Principles by researchers,FAIR for Research Software (FAIR4RS) WG
Approaches to supporting adoption of FAIR/Open Science Principles by researchers,FAIR for Virtual Research Environments WG
Approaches to supporting adoption of FAIR/Open Science Principles by researchers,FAIR Principles for Research Hardware
